14,1964,42478
14,1965,45978
14,1966,50435
14,1967,52817
14,1968,56331
14,1969,60840
14,1970,62763
14,1971,67379
14,1972,73501
14,1973,81286
14,1974,88070
14,1975,95880
14,1976,104819
14,1977,115077
14,1978,128122
14,1979,139253
14,1980,145264
14,1981,159649
14,1982,164267
14,1983,173119
14,1984,194244
14,1985,206281
14,1986,218696
14,1987,231210
14,1988,252197
14,1989,266608
14,1990,279019
14,1991,288473
14,1992,306236
14,1993,320079
14,1994,347971
14,1995,364451
14,1996,383504
14,1997,408048
4,1963,3791
4,1964,4148
4,1965,4446
4,1966,4868
4,1967,5132
4,1968,5704
4,1969,6232
4,1970,6667
4,1971,7440
4,1972,8494
4,1973,9886
4,1974,10865
4,1975,11942
4,1976,13704
4,1977,15182
4,1978,17477
4,1979,19099
4,1980,20276
4,1981,22891
4,1982,23527
4,1983,25292
4,1984,28465
4,1985,29326
4,1986,30799
4,1987,32664
4,1988,35004
4,1989,37128
4,1990,38680
4,1991,41572
4,1992,45018
4,1993,47566
4,1994,51416
4,1995,54612
4,1996,57976
4,1997,60333
32,1963,3030
32,1964,3156
32,1965,3311
32,1966,3452
32,1967,3514
32,1968,3806
32,1969,4091
32,1970,4431
32,1971,4822
32,1972,5406
32,1973,6189
32,1974,7116
32,1975,8098
32,1976,9254
32,1977,10102
32,1978,11536
32,1979,13141
32,1980,15731
32,1981,18511
32,1982,19242
32,1983,19882
32,1984,21397
32,1985,22534
32,1986,21807
32,1987,22429
32,1988,23457
32,1989,24927
32,1990,26600
32,1991,30295
32,1992,32638
32,1993,36876
32,1994,41685
32,1995,42146
32,1996,44532
32,1997,48683
15,1963,15636
15,1964,16723
15,1965,18518
15,1966,20049
15,1967,20951
15,1968,22646
15,1969,24212
15,1970,24546
15,1971,26882
15,1972,29954
15,1973,33972
15,1974,35606
15,1975,37677
15,1976,43775
15,1977,47901
15,1978,53729
15,1979,57917
15,1980,58870
15,1981,64724
15,1982,64982
15,1983,69335
15,1984,78859
15,1985,82011
15,1986,86437
15,1987,91650
15,1988,99492
15,1989,107199
15,1990,110860
15,1991,114637
15,1992,124714
15,1993,132108
15,1994,143335
15,1995,150404
15,1996,158350
15,1997,167366
21,1963,10261
21,1964,11171
21,1965,12263
21,1966,13563
21,1967,14319
21,1968,15852
21,1969,17385
21,1970,18720
21,1971,20501
21,1972,22644
21,1973,25112
21,1974,27381
21,1975,29597
21,1976,32612
21,1977,35555
21,1978,39526
21,1979,43628
21,1980,47522
21,1981,53117
21,1982,56339
21,1983,62205
21,1984,69920
21,1985,76878
21,1986,83744
21,1987,91380
21,1988,101280
21,1989,107444
21,1990,112835
21,1991,115428
21,1992,119535
21,1993,125515
21,1994,133311
21,1995,139070
21,1996,145023
21,1997,154783
19,1963,9659
19,1964,10468
19,1965,11453
19,1966,12774
19,1967,14022
19,1968,15076
19,1969,16321
19,1970,17177
19,1971,18634
19,1972,20294
19,1973,22735
19,1974,26892
19,1975,30675
19,1976,34413
19,1977,39670
19,1978,45212
19,1979,51653
19,1980,63925
19,1981,77201
19,1982,78067
19,1983,76881
19,1984,82623
19,1985,84391
19,1986,77107
19,1987,78488
19,1988,83196
19,1989,87574
19,1990,95177
19,1991,96043
19,1992,90890
19,1993,95866
19,1994,105119
19,1995,112876
19,1996,118807
19,1997,126003
